,lat,lon,00:00Z 27-Apr-2024,00:00Z 28-Apr-2024,00:00Z 29-Apr-2024,00:00Z 30-Apr-2024,00:00Z 01-May-2024,00:00Z 02-May-2024,00:00Z 03-May-2024,00:00Z 04-May-2024,00:00Z 05-May-2024
0,4.007606,96.03485,0.01,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0
1,4.007606,96.11799,0.02,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0
2,4.007606,96.201126,0.04,0.0,0.0,0.01,0.06,0.0,0.0,0.0,0.0
3,4.007606,96.28426,0.08,0.0,0.0,0.01,0.06,0.0,0.0,0.0,0.0
4,4.007606,96.36739,0.23,0.0,0.0,0.02,0.22,0.0,0.03,0.0,0.0
5,4.007606,96.45053,0.54,0.03,0.0,0.01,0.81,0.0,0.17,0.0,0.0
6,4.007606,96.53367,0.74,0.21,0.02,0.01,1.45,0.0,0.67,0.0,0.07
7,4.007606,96.616806,1.01,0.27,0.0,0.01,1.42,0.02,2.37,0.1,0.02
8,4.007606,96.69994,0.94,0.01,0.03,0.02,1.25,0.0,7.59,0.34,0.0
9,4.007606,96.78308,0.39,0.03,0.03,0.11,2.11,0.0,11.34,0.38,0.14
10,4.007606,96.86621,0.05,0.0,0.25,0.08,2.44,0.06,7.81,0.53,0.17
11,4.007606,96.94935,0.01,0.0,0.0,0.79,0.97,0.0,2.23,0.69,0.19
12,4.007606,97.032486,0.04,0.03,0.0,0.63,0.14,0.02,0.8,0.59,0.05
13,4.007606,97.11562,0.02,0.0,0.02,1.21,0.16,0.06,0.31,0.49,0.15
14,4.007606,97.19876,0.26,0.0,0.0,1.34,0.04,0.01,0.08,0.65,0.2
15,4.007606,97.28189,0.06,0.01,0.0,1.52,0.18,0.0,0.71,0.82,0.1
16,4.007606,97.36503,0.0,0.02,0.0,1.31,0.02,0.0,1.5,2.89,0.62
17,4.007606,97.448166,0.02,0.0,0.0,0.56,0.03,0.0,0.08,0.07,1.27
18,4.007606,97.5313,0.03,0.0,0.0,0.28,0.02,0.01,0.39,0.02,4.38
19,4.007606,97.61444,0.11,0.0,0.01,0.22,0.0,0.0,0.39,0.01,2.03
20,4.007606,97.69757,0.0,0.0,0.0,0.8,0.0,0.0,2.27,0.01,0.57
21,4.007606,97.78071,0.0,0.0,0.0,0.77,0.0,0.0,0.83,0.01,0.15
22,4.007606,97.863846,0.0,0.0,0.0,0.07,0.0,0.0,0.84,0.0,0.0
23,4.007606,97.94698,0.0,0.0,0.0,0.06,0.0,0.0,2.45,0.01,0.0
24,4.007606,98.03012,0.0,0.0,0.0,0.0,0.0,0.0,2.02,0.01,0.0
25,4.007606,98.11325,0.05,0.0,0.0,0.01,0.0,0.0,2.07,4.44,0.0
26,4.007606,98.19639,0.32,0.0,0.0,0.34,0.0,0.0,1.85,0.04,0.04
27,4.007606,98.279526,0.01,0.0,0.0,0.55,0.0,0.0,0.74,0.0,0.01
28,4.007606,98.36266,0.0,0.0,0.0,0.09,0.0,0.0,1.63,0.0,0.0
29,4.007606,98.4458,0.0,0.0,0.0,0.01,0.0,0.0,4.79,0.0,0.0
30,4.007606,98.52893,0.0,0.0,0.0,0.0,0.0,0.0,3.16,0.0,0.0
31,4.007606,98.612076,0.0,0.0,0.0,0.0,0.0,0.04,1.99,0.0,0.0
32,4.007606,98.695206,0.0,0.0,0.0,0.0,0.12,0.0,0.31,0.0,0.0
33,4.007606,98.77834,0.0,0.0,0.0,0.0,0.33,0.08,0.02,0.0,0.0
34,4.007606,98.86148,0.0,0.0,0.0,0.0,0.48,0.05,0.1,0.0,0.0
35,4.007606,98.94461,0.0,0.0,0.0,0.0,0.38,0.13,1.37,0.0,0.0
36,4.007606,99.027756,0.0,0.0,0.0,0.08,0.25,0.0,0.89,0.0,0.0
37,4.007606,99.110886,0.0,0.0,0.0,0.0,0.27,0.0,0.68,0.01,0.0
38,4.007606,99.19402,0.0,0.0,0.0,0.0,0.3,0.0,1.59,0.01,0.0
39,4.007606,99.27716,0.0,0.0,0.0,0.35,0.16,0.0,4.98,0.0,0.0
40,4.007606,99.36029,0.0,0.0,0.0,0.03,0.12,0.0,5.98,0.04,0.02
41,4.007606,99.443436,0.0,0.0,0.0,0.11,0.19,0.56,5.47,0.08,0.04
42,4.007606,99.526566,0.0,0.0,0.0,0.01,0.34,0.04,2.28,0.11,0.18
43,4.007606,99.6097,0.0,0.0,0.0,0.09,0.31,0.02,0.23,0.0,0.15
44,4.007606,99.69284,0.0,0.0,0.0,0.53,0.18,0.0,0.03,0.24,0.18
45,4.007606,99.77597,0.0,0.0,0.0,0.02,0.04,0.04,0.33,0.1,0.08
46,4.007606,99.8591,0.0,0.0,0.0,0.0,0.06,0.02,0.41,0.05,0.14
47,4.007606,99.942245,0.0,0.0,0.0,0.04,0.12,0.03,0.07,0.05,0.01
48,4.007606,100.02538,0.0,0.0,0.0,0.01,0.1,0.22,0.24,0.05,0.09
49,4.007606,100.10852,0.0,0.0,0.0,0.02,0.01,0.0,0.1,0.07,0.02
50,4.007606,100.19165,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.08,0.05
51,4.007606,100.27478,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.23,0.01
52,4.007606,100.357925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.95,0.02
53,4.007606,100.44106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.56,0.19
54,4.007606,100.5242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.09
55,4.007606,100.60733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0
56,4.007606,100.69046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0
57,4.007606,100.773605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.06
58,4.007606,100.85674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.19
59,4.007606,100.93988,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.01,1.13
60,4.007606,101.02302,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,2.27
61,4.007606,101.10615,0.0,0.0,0.01,0.09,0.0,0.0,0.0,0.0,0.53
62,4.007606,101.189285,0.0,0.0,0.01,0.06,0.0,0.0,0.0,0.02,0.01
63,4.007606,101.27242,0.0,0.0,0.0,0.1,0.01,0.0,0.0,0.0,0.02
64,4.007606,101.35556,0.01,0.0,0.0,0.63,0.3,0.0,0.0,0.0,0.01
65,4.007606,101.4387,0.0,0.02,0.0,0.82,0.87,0.0,0.12,0.01,0.0
66,4.007606,101.52183,0.0,0.01,0.06,0.07,0.76,0.06,0.02,0.0,0.0
67,4.007606,101.604965,0.0,0.0,0.04,0.11,0.02,0.03,0.0,0.0,0.0
68,4.007606,101.6881,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0
69,4.007606,101.77124,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0
70,4.007606,101.85438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,4.007606,101.93751,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,4.007606,102.020645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,4.007606,102.10378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,4.007606,102.18692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
75,4.007606,102.27006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
76,4.007606,102.35319,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,4.007606,102.436325,0.01,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0
78,4.007606,102.51946,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0
79,4.007606,102.6026,0.0,0.01,0.0,0.07,0.0,0.0,0.0,0.01,0.07
80,4.007606,102.68574,0.0,0.0,0.0,0.05,0.0,0.0,0.01,0.0,0.32
81,4.007606,102.76887,0.0,0.0,0.04,0.05,0.0,0.0,0.06,0.03,0.04
82,4.007606,102.852005,0.0,0.0,0.03,0.31,0.0,0.0,0.0,0.0,0.0
83,4.007606,102.93514,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.03,0.0
84,4.007606,103.01828,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
85,4.007606,103.10142,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.05
86,4.007606,103.18455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69
