,lat,lon,00:00Z 31-Mar-2024,00:00Z 01-Apr-2024,00:00Z 02-Apr-2024,00:00Z 03-Apr-2024,00:00Z 04-Apr-2024,00:00Z 05-Apr-2024,00:00Z 06-Apr-2024,00:00Z 07-Apr-2024,00:00Z 08-Apr-2024
0,4.007606,96.03485,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,4.007606,96.11799,0.0,0.51,0.01,0.0,0.0,0.0,0.0,0.0,0.0
2,4.007606,96.201126,0.0,0.68,0.01,0.0,0.0,0.0,0.0,0.0,0.0
3,4.007606,96.28426,0.0,0.62,0.07,0.0,0.0,0.0,0.0,0.0,0.0
4,4.007606,96.36739,0.0,0.37,0.05,0.0,0.0,0.01,0.0,0.0,0.0
5,4.007606,96.45053,0.0,0.38,0.04,0.01,0.01,0.1,0.0,0.0,0.03
6,4.007606,96.53367,0.0,0.72,0.07,0.02,0.07,0.61,0.0,0.0,0.49
7,4.007606,96.616806,0.01,1.57,0.1,0.06,0.27,0.17,0.01,0.21,0.95
8,4.007606,96.69994,0.03,2.1,0.42,0.97,0.29,0.0,0.05,0.0,0.01
9,4.007606,96.78308,0.09,1.83,1.61,0.13,0.02,0.02,0.06,0.0,0.0
10,4.007606,96.86621,0.02,1.61,3.12,0.07,0.0,0.0,0.0,0.0,0.0
11,4.007606,96.94935,0.03,2.17,3.5,1.31,0.07,0.03,0.0,0.0,0.18
12,4.007606,97.032486,0.01,2.54,5.36,0.08,0.09,0.03,0.0,0.0,0.05
13,4.007606,97.11562,0.17,1.46,6.34,0.08,1.01,0.2,0.0,0.0,0.16
14,4.007606,97.19876,0.33,1.07,4.46,0.02,3.26,0.91,0.0,0.06,0.0
15,4.007606,97.28189,1.0,1.2,1.01,0.32,3.39,0.39,0.0,0.17,0.0
16,4.007606,97.36503,0.87,0.89,2.83,0.08,2.13,0.05,0.0,0.01,0.0
17,4.007606,97.448166,0.42,1.1,3.33,0.04,0.66,0.02,0.0,0.0,0.0
18,4.007606,97.5313,0.55,1.34,1.9,0.05,0.37,0.03,0.0,0.06,0.04
19,4.007606,97.61444,0.79,0.64,0.06,0.24,1.24,0.0,0.0,0.7,0.25
20,4.007606,97.69757,0.78,1.31,0.03,0.09,2.75,0.0,0.0,1.45,0.39
21,4.007606,97.78071,0.6,1.67,0.0,0.0,4.08,0.02,0.0,1.19,0.34
22,4.007606,97.863846,0.19,1.16,0.0,0.0,3.32,0.0,0.0,0.22,0.46
23,4.007606,97.94698,0.02,0.15,0.0,0.0,1.39,0.0,0.0,0.0,0.0
24,4.007606,98.03012,0.01,0.05,0.0,0.0,1.76,0.0,0.0,0.0,0.0
25,4.007606,98.11325,0.0,0.0,0.0,0.0,3.36,0.0,0.0,0.0,0.0
26,4.007606,98.19639,0.01,0.0,0.0,0.0,2.65,0.0,0.0,0.05,0.0
27,4.007606,98.279526,0.01,0.0,0.0,0.0,1.24,0.0,0.0,0.0,0.0
28,4.007606,98.36266,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.0
29,4.007606,98.4458,0.0,0.01,0.0,0.0,0.19,0.0,0.0,0.0,0.0
30,4.007606,98.52893,0.0,0.01,0.0,0.0,0.5,0.0,0.0,0.0,0.0
31,4.007606,98.612076,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0
