,lat,lon,00:00Z 04-Apr-2024,00:00Z 05-Apr-2024,00:00Z 06-Apr-2024,00:00Z 07-Apr-2024,00:00Z 08-Apr-2024,00:00Z 09-Apr-2024,00:00Z 10-Apr-2024,00:00Z 11-Apr-2024
0,4.007606,96.03485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,4.007606,96.11799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,4.007606,96.201126,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0
3,4.007606,96.28426,0.0,0.0,0.0,0.0,0.12,0.0,0.03,0.0
4,4.007606,96.36739,0.0,0.0,0.0,0.0,0.22,0.0,0.37,0.0
5,4.007606,96.45053,0.0,0.0,0.0,0.01,0.29,0.05,1.46,0.0
6,4.007606,96.53367,0.03,0.01,0.04,0.14,0.85,0.76,2.54,0.18
7,4.007606,96.616806,0.39,0.01,0.11,0.01,2.72,0.46,2.6,1.85
8,4.007606,96.69994,0.55,0.07,0.02,0.08,0.2,2.25,2.66,2.29
9,4.007606,96.78308,0.36,0.27,0.06,0.01,0.17,3.3,0.84,0.31
10,4.007606,96.86621,1.0,0.2,0.0,0.0,0.02,0.86,0.41,0.0
11,4.007606,96.94935,0.45,0.11,0.0,0.35,0.14,1.04,0.02,0.01
12,4.007606,97.032486,0.01,0.0,0.0,0.01,0.3,0.35,0.12,0.0
13,4.007606,97.11562,0.03,0.0,0.0,0.0,0.19,0.26,0.04,0.0
14,4.007606,97.19876,0.09,0.0,0.0,0.01,0.15,0.13,0.0,0.18
15,4.007606,97.28189,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,4.007606,97.36503,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,4.007606,97.448166,0.1,0.0,0.01,0.0,0.0,0.0,0.0,0.0
18,4.007606,97.5313,0.28,0.02,0.08,0.0,0.0,0.0,0.11,0.01
19,4.007606,97.61444,1.25,0.04,0.02,0.0,0.01,0.0,0.65,0.09
20,4.007606,97.69757,0.52,0.02,0.03,0.07,0.2,0.03,1.64,0.0
21,4.007606,97.78071,0.45,0.2,0.02,0.11,0.7,0.01,0.02,0.0
22,4.007606,97.863846,0.92,0.04,0.01,0.0,0.37,0.0,0.09,0.0
23,4.007606,97.94698,0.36,0.1,0.03,0.0,0.03,0.0,0.0,0.0
24,4.007606,98.03012,0.03,0.0,0.0,0.0,0.01,0.0,0.0,0.0
25,4.007606,98.11325,0.0,0.0,0.0,0.03,0.07,0.0,0.0,0.0
26,4.007606,98.19639,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0
27,4.007606,98.279526,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
28,4.007606,98.36266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,4.007606,98.4458,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0
30,4.007606,98.52893,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0
31,4.007606,98.612076,0.0,0.02,0.0,0.0,0.01,0.0,0.0,0.0
32,4.007606,98.695206,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,4.007606,98.77834,0.0,0.0,0.1,0.01,0.0,0.0,0.02,0.0
34,4.007606,98.86148,0.0,0.0,0.0,1.22,0.0,0.0,0.29,0.01
35,4.007606,98.94461,0.0,0.01,1.69,0.1,0.1,0.0,0.85,0.04
36,4.007606,99.027756,0.0,0.0,0.09,0.31,0.05,0.0,2.6,0.12
37,4.007606,99.110886,0.0,0.42,0.0,0.0,0.05,0.05,2.81,0.18
38,4.007606,99.19402,0.01,0.13,0.0,0.11,0.15,0.0,2.06,0.03
39,4.007606,99.27716,0.04,0.01,0.0,0.06,0.02,0.0,3.17,0.0
40,4.007606,99.36029,0.01,0.0,0.0,0.18,0.0,0.0,2.21,0.0
41,4.007606,99.443436,0.0,0.0,0.0,0.09,0.03,0.0,0.02,0.0
42,4.007606,99.526566,0.0,0.0,0.02,0.12,0.24,0.06,0.0,0.0
43,4.007606,99.6097,0.25,0.17,0.0,0.68,0.03,0.01,0.03,0.01
44,4.007606,99.69284,0.89,0.0,0.0,0.59,0.0,0.01,0.0,0.0
45,4.007606,99.77597,2.38,0.0,0.0,0.04,0.0,0.0,0.0,0.0
46,4.007606,99.8591,4.23,0.0,0.02,0.01,0.0,0.0,0.0,0.0
47,4.007606,99.942245,0.71,0.09,0.05,0.0,0.0,0.01,0.0,0.0
48,4.007606,100.02538,0.04,0.0,0.0,0.01,0.01,0.01,0.0,0.0
49,4.007606,100.10852,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0
50,4.007606,100.19165,0.01,0.0,0.0,0.02,0.0,0.05,0.0,0.0
51,4.007606,100.27478,0.15,0.0,0.01,0.0,0.0,0.0,0.01,0.0
52,4.007606,100.357925,0.03,0.0,0.09,0.02,0.0,0.0,0.01,0.0
53,4.007606,100.44106,0.01,0.22,0.22,0.04,0.0,0.0,0.0,0.0
54,4.007606,100.5242,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
55,4.007606,100.60733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,4.007606,100.69046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,4.007606,100.773605,0.0,0.0,0.0,0.0,1.14,0.0,0.0,0.0
58,4.007606,100.85674,0.02,0.0,0.0,0.0,0.0,0.04,0.0,0.05
59,4.007606,100.93988,0.0,0.0,0.0,0.0,0.0,1.09,0.0,0.77
60,4.007606,101.02302,0.0,0.0,0.0,0.0,0.0,3.57,0.11,2.04
61,4.007606,101.10615,0.25,0.0,0.0,0.0,0.0,2.82,0.64,1.5
62,4.007606,101.189285,4.85,0.0,0.0,0.0,0.0,0.51,0.04,0.05
63,4.007606,101.27242,2.26,0.3,0.0,0.0,0.0,0.0,0.0,0.06
64,4.007606,101.35556,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.07
65,4.007606,101.4387,0.24,0.05,0.0,0.01,0.0,0.0,0.0,0.01
66,4.007606,101.52183,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.01
67,4.007606,101.604965,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.04
68,4.007606,101.6881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52
69,4.007606,101.77124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55
70,4.007606,101.85438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13
71,4.007606,101.93751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,4.007606,102.020645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,4.007606,102.10378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,4.007606,102.18692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,4.007606,102.27006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04
