,lat,lon,00:00Z 04-Apr-2024,00:00Z 05-Apr-2024,00:00Z 06-Apr-2024,00:00Z 07-Apr-2024,00:00Z 08-Apr-2024,00:00Z 09-Apr-2024,00:00Z 10-Apr-2024,00:00Z 11-Apr-2024,00:00Z 12-Apr-2024
0,4.007606,96.03485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0
1,4.007606,96.11799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0
2,4.007606,96.201126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0
3,4.007606,96.28426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0
4,4.007606,96.36739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0
5,4.007606,96.45053,0.0,0.01,0.0,0.0,0.0,0.0,0.0,1.21,0.01
6,4.007606,96.53367,0.04,0.37,0.0,0.0,0.0,0.61,0.0,2.49,0.04
7,4.007606,96.616806,0.19,0.02,0.11,0.01,0.0,2.97,0.01,6.59,0.0
8,4.007606,96.69994,1.73,0.07,0.01,0.0,0.43,5.73,0.0,17.12,0.0
9,4.007606,96.78308,1.12,0.0,0.09,0.07,0.52,12.47,0.0,23.92,0.0
10,4.007606,96.86621,0.09,0.0,0.0,0.0,0.01,15.11,0.0,21.06,0.0
11,4.007606,96.94935,0.0,0.26,0.05,0.0,0.07,8.78,0.0,20.81,0.02
12,4.007606,97.032486,0.0,0.01,0.0,0.05,0.02,3.49,0.01,26.79,0.3
13,4.007606,97.11562,0.45,0.32,0.0,0.0,0.0,0.64,0.0,39.72,0.04
14,4.007606,97.19876,0.41,0.53,0.0,0.0,0.0,0.16,0.0,35.49,0.13
15,4.007606,97.28189,0.02,0.01,0.0,0.0,0.0,0.02,0.0,17.33,0.05
16,4.007606,97.36503,0.22,0.0,0.02,0.0,0.0,0.0,0.0,4.04,0.0
17,4.007606,97.448166,0.95,0.0,0.0,0.0,0.0,0.0,0.01,0.32,0.02
18,4.007606,97.5313,1.83,0.0,0.0,0.16,0.0,0.02,0.01,1.11,0.01
19,4.007606,97.61444,1.35,0.0,0.01,0.09,0.0,0.0,0.0,0.02,0.04
20,4.007606,97.69757,2.83,0.07,0.11,0.04,0.0,0.0,0.0,0.0,0.01
21,4.007606,97.78071,1.17,0.18,0.16,0.06,0.0,0.0,0.01,0.0,0.01
22,4.007606,97.863846,2.41,0.13,0.02,0.06,0.0,0.0,0.13,0.0,0.01
23,4.007606,97.94698,0.77,0.21,0.0,0.01,0.0,0.0,0.15,0.0,0.01
24,4.007606,98.03012,0.04,0.02,0.1,0.0,0.18,0.0,0.28,0.0,0.0
25,4.007606,98.11325,0.0,0.0,0.0,0.02,0.01,0.0,0.12,0.0,0.0
26,4.007606,98.19639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,4.007606,98.279526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,4.007606,98.36266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,4.007606,98.4458,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.01,0.0
30,4.007606,98.52893,0.01,0.0,0.0,0.37,0.01,0.0,0.0,0.2,0.0
