,lat,lon,00:00Z 04-Apr-2024,00:00Z 05-Apr-2024,00:00Z 06-Apr-2024,00:00Z 07-Apr-2024,00:00Z 08-Apr-2024,00:00Z 09-Apr-2024
0,4.007606,96.03485,0.0,0.0,0.0,0.0,0.0,0.0
1,4.007606,96.11799,0.0,0.0,0.0,0.0,0.0,0.0
2,4.007606,96.201126,0.01,0.0,0.0,0.0,0.0,0.0
3,4.007606,96.28426,0.0,0.01,0.0,0.0,0.0,0.0
4,4.007606,96.36739,0.0,0.01,0.0,0.0,0.0,0.0
5,4.007606,96.45053,0.05,0.0,0.0,0.0,0.0,0.01
6,4.007606,96.53367,0.01,0.0,0.0,0.0,0.0,0.48
7,4.007606,96.616806,0.28,0.0,0.05,0.03,0.01,1.82
8,4.007606,96.69994,0.0,0.01,0.06,0.08,0.28,2.75
9,4.007606,96.78308,0.01,0.0,0.03,0.39,2.06,6.07
10,4.007606,96.86621,0.02,0.0,0.0,0.06,0.76,5.42
11,4.007606,96.94935,0.03,0.1,0.0,0.0,0.09,2.15
12,4.007606,97.032486,0.0,0.35,0.0,0.01,0.0,0.73
13,4.007606,97.11562,0.01,0.09,0.0,0.08,0.0,0.97
14,4.007606,97.19876,0.17,0.0,0.0,0.0,0.02,1.85
15,4.007606,97.28189,0.0,0.0,0.0,0.0,0.0,0.47
16,4.007606,97.36503,0.0,0.0,0.0,0.0,0.0,0.12
17,4.007606,97.448166,0.02,0.0,0.0,0.02,0.0,0.01
18,4.007606,97.5313,0.04,0.0,0.01,0.0,0.0,0.32
19,4.007606,97.61444,0.36,0.0,0.09,0.0,0.0,0.0
20,4.007606,97.69757,1.15,0.0,0.01,0.03,0.0,0.0
21,4.007606,97.78071,3.0,0.01,0.01,0.62,0.1,0.01
22,4.007606,97.863846,0.59,0.0,0.01,0.81,0.0,0.0
23,4.007606,97.94698,0.98,0.0,0.0,1.04,0.02,0.0
24,4.007606,98.03012,0.23,0.0,0.0,0.11,0.01,0.0
25,4.007606,98.11325,0.02,0.21,0.0,0.05,0.0,0.0
26,4.007606,98.19639,0.01,0.04,0.0,0.0,0.0,0.0
27,4.007606,98.279526,0.0,0.0,0.0,0.0,0.0,0.0
28,4.007606,98.36266,0.02,0.0,0.0,0.0,0.0,0.0
29,4.007606,98.4458,0.01,0.0,0.0,0.0,0.0,0.0
30,4.007606,98.52893,0.0,0.0,0.0,0.0,0.01,0.0
31,4.007606,98.612076,0.01,0.0,0.0,0.0,0.02,0.0
32,4.007606,98.695206,0.01,0.0,0.0,0.0,0.0,0.0
33,4.007606,98.77834,0.0,0.0,0.0,0.0,0.0,0.0
34,4.007606,98.86148,0.0,0.0,0.0,0.1,0.0,0.0
35,4.007606,98.94461,0.0,0.0,0.0,0.0,0.01,0.0
