,lat,lon,00:00Z 01-Apr-2024,00:00Z 02-Apr-2024,00:00Z 03-Apr-2024,00:00Z 04-Apr-2024,00:00Z 05-Apr-2024,00:00Z 06-Apr-2024,00:00Z 07-Apr-2024,00:00Z 08-Apr-2024,00:00Z 09-Apr-2024
0,4.007606,96.03485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,4.007606,96.11799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,4.007606,96.201126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,4.007606,96.28426,0.03,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0
4,4.007606,96.36739,0.15,0.04,0.0,0.07,0.0,0.0,0.0,0.0,0.03
5,4.007606,96.45053,0.36,0.04,0.0,0.13,0.0,0.0,0.0,0.01,0.13
6,4.007606,96.53367,0.87,0.01,0.06,0.19,0.0,0.0,0.0,0.04,0.24
7,4.007606,96.616806,2.24,0.02,0.07,0.73,0.0,0.0,0.03,0.53,0.4
8,4.007606,96.69994,4.25,0.0,0.0,0.08,0.0,0.0,0.04,0.2,0.64
9,4.007606,96.78308,5.8,0.06,0.05,0.51,0.03,0.02,0.0,0.14,0.29
10,4.007606,96.86621,8.65,0.15,0.08,0.18,0.05,0.0,0.02,0.59,0.06
11,4.007606,96.94935,12.24,0.57,0.16,0.06,0.0,0.0,0.32,0.52,0.03
12,4.007606,97.032486,16.64,1.78,0.12,0.17,0.01,0.0,0.0,0.05,0.02
13,4.007606,97.11562,17.58,1.93,0.23,0.21,0.0,0.0,0.0,0.0,0.08
14,4.007606,97.19876,15.48,0.94,0.34,0.11,0.0,0.0,0.0,0.0,0.0
15,4.007606,97.28189,13.26,0.27,0.3,0.69,0.0,0.0,0.0,0.01,0.0
16,4.007606,97.36503,10.98,0.28,0.05,0.79,0.0,0.0,0.0,0.01,0.0
17,4.007606,97.448166,6.56,0.11,0.05,0.88,0.0,0.0,0.03,0.0,0.0
18,4.007606,97.5313,2.41,0.02,0.17,3.05,0.0,0.03,0.75,0.0,0.01
19,4.007606,97.61444,0.49,0.03,0.38,6.77,0.0,0.01,0.08,0.06,0.0
20,4.007606,97.69757,0.06,0.0,0.31,4.77,0.0,0.0,0.86,0.16,0.0
21,4.007606,97.78071,0.01,0.16,0.01,4.28,0.04,0.0,0.32,0.33,0.0
22,4.007606,97.863846,0.0,0.16,0.12,3.12,0.5,0.0,0.0,0.39,0.0
23,4.007606,97.94698,0.01,0.01,0.04,1.81,0.46,0.0,0.0,0.02,0.0
24,4.007606,98.03012,0.0,0.0,0.03,1.57,0.01,0.0,0.0,0.0,0.0
