,lat,lon,00:00Z 05-Apr-2024,00:00Z 06-Apr-2024,00:00Z 07-Apr-2024,00:00Z 08-Apr-2024,00:00Z 09-Apr-2024,00:00Z 10-Apr-2024,00:00Z 11-Apr-2024,00:00Z 12-Apr-2024,00:00Z 13-Apr-2024,00:00Z 14-Apr-2024
0,4.007606,96.03485,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0
1,4.007606,96.11799,0.0,0.0,0.0,0.0,0.6,0.01,0.05,0.0,0.0,0.0
2,4.007606,96.201126,0.0,0.0,0.0,0.17,0.82,0.07,0.05,0.0,0.0,0.02
3,4.007606,96.28426,0.0,0.0,0.0,1.18,1.55,0.17,0.39,0.0,0.0,0.12
4,4.007606,96.36739,0.0,0.0,0.0,4.09,6.35,0.17,2.55,0.02,0.0,0.13
5,4.007606,96.45053,0.0,0.0,0.0,6.17,8.66,0.08,5.81,0.4,0.01,0.05
6,4.007606,96.53367,0.0,0.04,0.01,3.09,16.68,0.11,4.42,0.64,0.41,0.04
7,4.007606,96.616806,0.07,0.16,0.14,3.35,30.68,0.12,1.3,1.79,0.26,0.54
8,4.007606,96.69994,0.26,0.01,0.01,3.45,37.26,0.23,0.06,0.31,0.05,0.61
9,4.007606,96.78308,0.07,0.19,0.01,2.17,39.86,0.17,0.01,0.47,0.45,0.86
10,4.007606,96.86621,0.0,0.06,0.11,3.43,13.37,0.17,0.0,0.71,0.7,0.39
11,4.007606,96.94935,0.23,1.35,0.03,0.83,1.54,0.14,0.02,1.09,0.05,0.54
12,4.007606,97.032486,0.05,0.0,0.02,0.12,0.44,0.2,0.37,0.48,0.0,0.14
13,4.007606,97.11562,0.26,0.0,0.0,0.21,0.58,0.2,0.3,0.01,0.01,0.89
14,4.007606,97.19876,0.02,0.01,0.0,0.08,1.86,0.46,0.0,0.0,0.0,0.86
15,4.007606,97.28189,0.0,0.01,0.0,0.13,2.38,0.67,0.0,0.0,0.0,2.61
16,4.007606,97.36503,0.0,0.0,0.0,0.12,0.2,1.34,0.0,0.0,0.0,6.33
17,4.007606,97.448166,0.0,0.0,0.0,0.0,0.0,2.82,0.0,0.0,0.0,0.97
18,4.007606,97.5313,0.0,0.02,0.03,0.02,0.04,3.36,0.0,0.06,0.0,0.46
19,4.007606,97.61444,0.01,0.04,0.06,0.02,0.41,2.87,0.0,0.1,0.0,0.52
20,4.007606,97.69757,0.0,1.94,0.03,0.0,1.3,1.43,0.0,0.15,0.04,1.63
21,4.007606,97.78071,0.0,0.46,0.36,0.01,0.06,0.3,0.0,0.0,0.55,2.23
22,4.007606,97.863846,0.0,0.0,0.37,0.05,0.06,0.02,0.0,0.0,0.11,3.61
23,4.007606,97.94698,0.0,0.13,0.0,0.09,0.24,0.0,0.0,0.0,0.01,1.36
24,4.007606,98.03012,0.0,0.02,0.07,0.0,2.32,0.0,0.0,0.0,0.0,0.78
25,4.007606,98.11325,0.0,0.0,0.03,0.02,1.76,0.0,0.0,0.0,0.0,0.4
26,4.007606,98.19639,0.0,0.0,0.12,0.0,0.09,0.0,0.0,0.0,0.0,0.0
27,4.007606,98.279526,0.0,0.0,1.26,0.0,0.0,0.02,0.0,0.0,0.0,0.0
28,4.007606,98.36266,0.0,0.0,0.06,0.0,0.0,0.33,0.0,0.0,0.03,0.0
29,4.007606,98.4458,0.0,0.0,0.0,0.01,0.01,0.76,0.0,0.0,0.02,0.0
30,4.007606,98.52893,0.0,0.0,0.0,0.03,0.05,1.39,0.0,0.0,0.25,0.0
31,4.007606,98.612076,0.0,0.0,0.0,0.01,0.2,2.14,0.0,0.01,0.0,0.0
32,4.007606,98.695206,0.0,0.0,0.0,0.0,0.76,2.59,0.0,0.0,0.0,0.01
33,4.007606,98.77834,0.0,0.0,0.0,0.03,1.66,3.17,0.0,0.01,0.0,0.0
34,4.007606,98.86148,0.0,0.0,0.08,0.03,2.39,2.89,0.0,0.0,0.0,0.02
35,4.007606,98.94461,0.0,0.0,0.0,0.0,2.63,1.98,0.0,0.0,0.0,0.0
36,4.007606,99.027756,0.0,0.0,0.0,0.0,1.91,1.0,0.0,0.0,0.0,0.0
37,4.007606,99.110886,0.0,0.76,0.01,0.04,1.85,0.32,0.0,0.0,0.0,0.07
38,4.007606,99.19402,0.0,0.93,0.02,0.0,3.24,0.07,0.0,0.0,0.0,0.01
39,4.007606,99.27716,0.0,0.16,0.07,0.02,6.99,0.01,0.0,0.0,0.01,0.0
40,4.007606,99.36029,0.0,0.0,0.03,0.0,18.09,0.16,0.0,0.0,0.0,0.0
41,4.007606,99.443436,0.0,0.13,0.0,0.0,10.07,0.0,0.0,0.0,0.0,0.0
42,4.007606,99.526566,0.0,0.03,0.0,0.0,3.72,0.0,0.0,0.0,0.0,0.0
43,4.007606,99.6097,0.01,0.0,0.09,0.0,0.59,0.0,0.0,0.0,0.0,0.0
44,4.007606,99.69284,0.0,0.0,0.23,0.0,0.11,0.01,0.0,0.0,0.0,0.0
45,4.007606,99.77597,0.0,0.0,0.0,0.0,0.05,0.03,0.0,0.0,0.0,0.0
46,4.007606,99.8591,0.0,0.0,0.0,0.0,1.25,0.44,0.0,0.0,0.0,0.0
47,4.007606,99.942245,0.11,0.0,0.0,0.0,0.81,0.03,0.0,0.0,0.0,0.01
48,4.007606,100.02538,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.03
49,4.007606,100.10852,0.0,0.0,0.0,0.0,0.13,0.25,0.0,0.0,0.0,0.48
50,4.007606,100.19165,0.0,0.01,0.0,0.0,0.01,1.23,0.0,0.0,0.0,0.13
51,4.007606,100.27478,0.08,0.0,0.0,0.0,0.06,2.42,0.0,0.0,0.0,0.91
52,4.007606,100.357925,0.01,0.0,0.0,0.0,0.01,10.21,0.0,0.0,0.0,0.03
53,4.007606,100.44106,0.0,0.0,0.0,0.0,0.09,15.37,0.0,0.0,0.0,1.03
54,4.007606,100.5242,0.0,0.0,0.0,0.0,1.27,11.16,0.0,0.0,0.0,1.86
55,4.007606,100.60733,0.0,0.0,0.0,0.0,3.05,6.45,0.1,0.0,0.0,0.04
56,4.007606,100.69046,0.01,0.0,0.0,0.0,0.42,3.56,0.39,0.0,0.0,0.0
57,4.007606,100.773605,0.21,0.0,0.0,0.0,0.5,2.85,0.56,0.0,0.0,0.0
