,lat,lon,00:00Z 03-Apr-2024,00:00Z 04-Apr-2024,00:00Z 05-Apr-2024,00:00Z 06-Apr-2024,00:00Z 07-Apr-2024,00:00Z 08-Apr-2024,00:00Z 09-Apr-2024
0,4.007606,96.03485,0.0,0.0,0.0,0.0,3.35,0.0,0.0
1,4.007606,96.11799,0.0,0.0,0.0,0.0,0.84,0.0,0.0
2,4.007606,96.201126,0.0,0.0,0.0,0.0,0.07,0.0,0.0
3,4.007606,96.28426,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4.007606,96.36739,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,4.007606,96.45053,0.0,0.0,-0.01,0.0,0.0,0.0,0.0
6,4.007606,96.53367,0.0,0.01,-0.09,0.0,0.02,0.0,0.0
7,4.007606,96.616806,0.14,0.23,0.0,0.0,0.02,0.25,0.0
8,4.007606,96.69994,0.01,0.01,-0.81,0.0,0.0,0.4,0.0
9,4.007606,96.78308,0.04,0.11,0.0,0.0,0.02,0.82,0.05
10,4.007606,96.86621,0.01,0.18,0.89,0.0,0.03,0.21,0.0
11,4.007606,96.94935,0.05,0.02,0.78,0.0,0.0,0.06,0.03
12,4.007606,97.032486,0.11,0.06,0.0,0.0,0.01,0.02,0.04
13,4.007606,97.11562,0.61,0.05,-1.06,0.0,0.2,0.01,0.0
14,4.007606,97.19876,1.19,0.0,-1.9,0.0,0.0,0.0,0.0
15,4.007606,97.28189,0.56,0.0,0.39,0.0,0.0,0.0,0.0
16,4.007606,97.36503,0.22,0.14,0.82,0.04,0.01,0.01,0.0
17,4.007606,97.448166,0.05,0.16,-0.39,0.0,0.0,0.0,0.0
18,4.007606,97.5313,0.15,1.46,-0.64,0.14,0.04,0.09,0.0
19,4.007606,97.61444,0.57,0.12,-0.55,0.01,0.42,0.01,0.05
20,4.007606,97.69757,0.12,0.73,0.38,0.04,0.08,0.05,0.0
21,4.007606,97.78071,0.23,1.43,0.09,0.63,0.4,0.63,0.0
22,4.007606,97.863846,0.86,0.63,-1.18,0.11,0.02,0.01,0.0
23,4.007606,97.94698,0.9,3.43,-3.85,0.28,0.15,0.0,0.32
24,4.007606,98.03012,0.25,2.05,-2.22,0.0,0.15,0.0,0.0
25,4.007606,98.11325,0.05,0.19,0.07,0.0,0.24,0.0,0.0
26,4.007606,98.19639,0.03,0.0,0.2,0.0,0.0,0.0,0.0
27,4.007606,98.279526,0.0,0.0,0.03,0.0,0.0,0.0,0.0
28,4.007606,98.36266,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,4.007606,98.4458,0.0,0.0,0.01,0.0,0.0,0.01,0.0
30,4.007606,98.52893,0.0,0.01,-0.0,0.0,0.04,0.0,0.0
31,4.007606,98.612076,0.0,0.05,-0.05,0.0,0.0,0.0,0.0
32,4.007606,98.695206,0.0,0.0,0.01,0.0,0.0,0.0,0.0
33,4.007606,98.77834,0.0,0.0,0.0,0.0,0.0,0.0,0.17
34,4.007606,98.86148,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,4.007606,98.94461,0.05,0.0,-0.02,0.0,0.0,0.0,0.03
36,4.007606,99.027756,0.23,0.01,0.39,0.21,0.03,0.16,0.0
37,4.007606,99.110886,1.47,0.02,-1.19,0.06,0.29,0.02,0.0
38,4.007606,99.19402,0.14,0.47,-0.56,0.76,0.01,0.12,0.03
39,4.007606,99.27716,0.16,0.3,-0.28,0.01,0.0,0.03,1.5
40,4.007606,99.36029,0.33,0.21,-0.35,0.0,0.0,0.0,0.77
41,4.007606,99.443436,0.09,0.26,-0.3,0.01,0.01,0.0,0.3
42,4.007606,99.526566,0.04,0.04,0.13,0.22,0.01,0.01,0.33
43,4.007606,99.6097,0.0,0.19,-0.13,0.02,0.0,0.0,0.04
44,4.007606,99.69284,0.0,0.37,0.32,0.0,0.0,0.09,0.03
45,4.007606,99.77597,0.61,0.09,-0.58,0.02,0.01,0.16,0.05
46,4.007606,99.8591,0.07,0.02,0.29,0.03,0.05,0.02,0.0
47,4.007606,99.942245,0.1,0.02,0.8,0.03,0.07,0.0,0.0
48,4.007606,100.02538,0.0,0.72,-0.69,0.03,0.03,0.09,0.02
49,4.007606,100.10852,0.0,0.03,0.11,0.0,0.48,0.0,0.06
50,4.007606,100.19165,0.0,0.01,0.14,0.0,0.37,0.01,0.04
51,4.007606,100.27478,0.0,0.0,0.14,0.0,0.01,0.01,0.03
52,4.007606,100.357925,0.0,0.11,3.05,0.0,0.0,0.0,0.02
53,4.007606,100.44106,0.0,0.0,0.13,0.28,0.0,0.01,0.03
54,4.007606,100.5242,0.0,0.02,-0.01,0.02,0.0,0.0,0.14
55,4.007606,100.60733,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
56,4.007606,100.69046,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,4.007606,100.773605,0.0,0.01,0.31,0.0,0.0,0.0,0.0
58,4.007606,100.85674,0.22,0.0,1.81,0.0,0.0,0.0,0.0
59,4.007606,100.93988,0.0,1.58,2.29,0.0,0.0,0.0,0.14
60,4.007606,101.02302,0.0,1.52,-0.33,0.0,0.0,0.0,0.0
61,4.007606,101.10615,0.0,0.07,6.79,0.0,0.0,0.0,0.23
62,4.007606,101.189285,0.0,0.01,6.12,0.0,0.0,0.0,0.56
63,4.007606,101.27242,0.0,0.02,0.46,0.0,0.0,0.03,3.07
